0,Passenger Plate Default,Tennessee,,,Does not use the Letter “O” on their standard license plates. Both the Letter “O” and Number Zero “0” are used on our Specialty Tags and Temporary Operating Permits.,,,,,"*FLAT designated plates are printed, not pressed.",,
,Sons of the Confederate Veterans ,,,,Y,N,N,N,Y,Y- Organization logo at left of plate.,N,N
,Spay and Neuter,,,,Y,N,N,N,Y,N,N,N
,Special Interest,Drive Electric,Driving to a Cure,Equity Alliance,Y,N,N,N,Y,Y - Visible logo/name  appear on tag,N,N
,Special Interest,Helping Schools,Isaiah 117,Millennial Debt Fund,Y,N,N,N,Y,Y - Visible logo/name  appear on tag,N,N
,Special Interest,Old Friends Dog Sanct,Service Dogs,,Y,N,N,N,Y,Y - Visible logo/name  appear on tag,N,N
,Special Purpose,,,,Y,N,N,N,Y,N,N,N
,Sportsman,2000-2006,Since 2007,,Y,N,N,N,Y,N,N,N
,St. Jude Children's Hospital,2007-2020,Since 2021,,Y,N,N,N,Y,Y- Organization logo at left of plate.,N,N
,State Guard,,,,Y,N,N,N,Y,Y- State Guard logo at left of plate.,N,N
,State of American Music,,,,Y,N,N,N,Y,N,N,N
,State Parks,,,,Y,N,N,N,Y,N,N,N
,State University,,,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,Submarine Veteran,,,,Y,N,N,Y - Vertical characters must be verified as seen.,Y,"Y - Military awards, Veteran and Campaigns appear on plate.",N,N
,Support our Troops,,,,Y,N,N,N,Y,Y- Organization logo at left of plate.,N,N
,Tennessee Tech,2003-2017,Since 2018,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,Temporary,,,,Y,N,N,N,Y,Y - preprinted or electronic printed paper tags. Do not accept hand written tags.,N,N
,Temporary Trailer,,,,Y,N,N,N,Y,Y - preprinted or electronic printed paper tags. Do not accept hand written tags.,N,N
,Titans,2003-2017,Since 2018,,Y,N,N,N,Y,Y- Team logo at left of plate.,N,N
,Trailer,2000-2005,2006-2011,2012-2019,Y,N,N,N,Y,N,N,N
,Trailer,Since 2020,"""E"" Class",,Y,N,N,N,Y,N,N,N
,Trevecca University,,,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,Tusculum University,,,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,Union University,,,,Y,N,N,N,Y,Y - Visible college logo/name  appear on tag,N,N
,University of Arkansas,Pressed Type I,Pressed Type II,Flat,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,University of Florida,,,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,University of Kentucky,,,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,University of Memphis,2003-2017,Since 2018,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,University of Tennessee-Knoxville,,,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,University of Tennessee,Pressed,Flat,UT Hlth Sci Ctr,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,US Coast Guard Auxiliary,,,,Y,N,N,N,Y,Y- Coast Guard logo at left of plate.,N,N
,USTA,,,,Y,N,N,N,Y,Y - Visible logo/name  appear on tag,N,N
,UT Chattanooga,,,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,UT Knoxville Collegiate,,,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,UT Lady Vols,,,,Y,N,N,N,Y,Y- School logo at left of plate; '8 Time National Champions' at bottom.,N,N
,UT Martin,,,,Y,N,N,N,Y,Y - Visible college logo/name  appear on tag,N,N
,Vanderbilt Children's Hospital,2004-2016,Since 2017,,Y,N,N,N,Y,Y- Organization logo at left of plate.,N,N
,Vanderbilt University,2012-2013,Since 2014,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,Vehicle Prep Service,2006-2008,2009-2019,Since 2020,Y,N,N,N,Y,N,N,N
,Vietnam Era Veteran,,,,Y,N,N,N,Y,Y- American flag in center of plate.,N,N
,Vietnam Veteran,1996-2017,Since 2018,,Y,N,N,N,Y,N,N,N
,Virginia Tech University,,,,Y,N,N,N,Y,Y- School logo at left of plate; 'GO HOKIES' at bottom.,N,N
,Volunteer for Wildlife,Bear Icon,Turkey Icon,,Y,N,N,N,Y,Y- Animal logo at left of plate.,N,N
,Walking Horse,Pressed,Flat,,Y,N,N,N,Y,Y- Prancing Horse logo at left of plate.,N,N
,Watchable Wildlife,1996-2000,2001 Pressed,2001 Flat,Y,N,N,N,Y,Y- Bird logo at left of plate.,N,N
,Wesleyan University,Pressed,Flat,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,Wildlife,Deer,Hummingbird,,Y,N,N,N,Y,Y- Animal logo at left of plate.,N,N
,Women Veteran,,,,Y,N,N,Y - Vertical characters must be verified as seen.,Y,Y - Women Veteran appears across bottom of plate. Plate starts with WV.,N,N
,WWII Era Veteran,,,,Y,N,N,N,Y,Y- American flag in center of plate.,N,N
,Youth Villages,,,,Y,N,N,N,Y,Y- Kite logo at left of plate.,N,N
,Zeta Phi Beta Sorority,,,,Y,N,N,N,Y,Y- Sorority logo at left of plate.,N,N
,,,,,,,,,,,,
